"userid","path_type","multi_user_label","single_user","multiple_user","total_events","completed_count","completed_cat","not_completed_count","event_count_cat","device_cat","ipad_event","iphone_event","ipod_event","max_stage_complete","pathways_complete_rank","pathways_reach_rank","pathways_count","alc_count","average_age_int","max_stage","first_week","second_week","third_week","distinct_weeks","distinct_days","avg_weekly_visit","avg_daily_hrs","weekly_visit_cat","max_days_into_trial","avg_days_from_trial","trial_day","max_stage_num","avg_level","avg_cluster","avg_step","pop_event_day","pop_title","pop_category","distinct_titles","title_count_cat","max_row","max_column","avg_row","avg_col","ctp"
-9.219517986527246e+18,"alc, pathways","Single-user",1,0,36,25,"med",8,"medium","iPhone",0,36,0,"A",121,211,9,27,,"A",1,1,1,3,6,9,0,"medium",21,16,14,1,1,1,1,"Saturday ","Letter Hunt","GAM",24,"high",1,25,1,9,1
-9.218149253007415e+18,"pathways","Single-user",1,0,5,4,"low",0,"low","iPhone",0,5,0,"A",121,211,5,0,1,"A",1,0,1,2,2,3,0,"low",20,4,1,1,1,1,1,"Sunday   ","Letter Hunt",,2,"low",,,,,0
-9.217415525944872e+18,"alc, pathways","Single-user",1,0,59,36,"med",21,"high","iPhone",0,59,0,"C",511,521,40,19,4,"C",1,0,0,1,2,30,0,"high",5,3,8,3,3,1,6,"Friday   ","Make the Letters: A,a",,39,"high",20,16,3,4,0
-9.217256922534748e+18,"alc, pathways","Single-user",1,0,126,111,"very_high",14,"very high","iPad",126,0,0,"C",351,351,27,99,4,"C",1,1,1,3,10,42,3,"very high",16,10,5,3,2,1,6,"Thursday ","Swimmy","RAS",87,"very high",21,15,4,4,1
-9.21274336329643e+18,"alc, pathways","Multiple-user",0,1,144,105,"very_high",35,"very high","iPad",144,0,0,"B",961,961,64,80,3,"B",1,1,1,4,14,36,3,"very high",22,7,9,2,5,1,4,"Tuesday  ","The Airport",,87,"very high",28,16,2,3,1
-9.209766033607268e+18,"pathways","Single-user",1,0,6,5,"low",1,"low","iPhone",0,6,0,"B",781,781,6,0,,"B",1,0,0,1,1,6,0,"low",0,0,9,2,7,1,6,"Monday   ","This Little Piggy",,6,"low",,,,,1
-9.206143342432546e+18,"alc, pathways","Single-user",1,0,107,72,"very_high",29,"very high","iPad",107,0,0,"D",801,811,106,1,,"D",1,1,1,4,9,21,2,"high",30,13,1,4,5,1,7,"Sunday   ","Let's Draw",,55,"very high",1,1,1,1,1
-9.20426287557868e+18,"pathways","Multiple-user",0,1,1,0,"low",1,"low","iPad",1,0,0,,,,1,0,6,,1,0,0,1,1,1,0,"low",2,2,4,,1,,1,"Friday   ","Letters and Sounds",,1,"low",,,,,1
-9.20115143158728e+18,"alc, pathways","Single-user",1,0,91,71,"very_high",14,"high","iPad",91,0,0,"D",1111,1121,88,3,6,"D",1,0,0,1,4,91,7,"very high",3,2,9,4,7,1,5,"Wednesday","What's That Sound?",,38,"high",20,10,15,5,1
-9.198210883643228e+18,"pathways","Multiple-user",0,1,76,61,"high",12,"high","iPhone",0,76,0,"D",691,701,76,0,,"D",1,1,0,2,3,38,1,"very high",11,8,4,4,4,1,6,"Sunday   ","Make the Letters: A,a",,44,,,,,,0
