RECORD_DATE,COUNTRY,CURRENCY,CURRENCY_DETAIL,RATE,YEAR,MONTH,DAY
3/31/18,AFGHANISTAN,AFGHANI,AFGHANISTAN-AFGHANI,69,2018,3,31
6/30/18,AFGHANISTAN,AFGHANI,AFGHANISTAN-AFGHANI,71.55,2018,6,30
9/30/18,AFGHANISTAN,AFGHANI,AFGHANISTAN-AFGHANI,75.1,2018,9,30
12/31/18,AFGHANISTAN,AFGHANI,AFGHANISTAN-AFGHANI,74.576,2019,12,31
3/31/19,AFGHANISTAN,AFGHANI,AFGHANISTAN-AFGHANI,74.78,2019,3,31
6/30/19,AFGHANISTAN,AFGHANI,AFGHANISTAN-AFGHANI,79.912,2019,6,30
9/30/19,AFGHANISTAN,AFGHANI,AFGHANISTAN-AFGHANI,77.53,2019,9,30
12/31/18,ALBANIA,LEK,ALBANIA-LEK,107.05,2019,12,31
6/30/18,ALBANIA,LEK,ALBANIA-LEK,107.75,2018,6,30
9/30/18,ALBANIA,LEK,ALBANIA-LEK,108.9,2018,9,30
3/31/18,ALBANIA,LEK,ALBANIA-LEK,105.35,2018,3,31
9/30/19,ALBANIA,LEK,ALBANIA-LEK,111.35,2019,9,30
3/31/19,ALBANIA,LEK,ALBANIA-LEK,111.24,2019,3,31
6/30/19,ALBANIA,LEK,ALBANIA-LEK,107.6,2019,6,30
12/31/18,ALGERIA,DINAR,ALGERIA-DINAR,117.898,2019,12,31
6/30/18,ALGERIA,DINAR,ALGERIA-DINAR,117.454,2018,6,30
9/30/18,ALGERIA,DINAR,ALGERIA-DINAR,117.935,2018,9,30
3/31/18,ALGERIA,DINAR,ALGERIA-DINAR,113.798,2018,3,31
9/30/19,ALGERIA,DINAR,ALGERIA-DINAR,120.43,2019,9,30
3/31/19,ALGERIA,DINAR,ALGERIA-DINAR,119.06,2019,3,31
6/30/19,ALGERIA,DINAR,ALGERIA-DINAR,118.571,2019,6,30
12/31/18,ANGOLA,KWANZA,ANGOLA-KWANZA,310,2019,12,31
6/30/18,ANGOLA,KWANZA,ANGOLA-KWANZA,245,2018,6,30
9/30/18,ANGOLA,KWANZA,ANGOLA-KWANZA,290,2018,9,30
3/31/18,ANGOLA,KWANZA,ANGOLA-KWANZA,215,2018,3,31
9/30/19,ANGOLA,KWANZA,ANGOLA-KWANZA,365,2019,9,30
3/31/19,ANGOLA,KWANZA,ANGOLA-KWANZA,310,2019,3,31
6/30/19,ANGOLA,KWANZA,ANGOLA-KWANZA,340,2019,6,30
12/31/18,ANTIGUA,BARBUDA-E. CARIBBEAN DOLLAR,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2019,12,31
6/30/18,ANTIGUA,BARBUDA-E. CARIBBEAN DOLLAR,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2018,6,30
9/30/18,ANTIGUA,BARBUDA-E. CARIBBEAN DOLLAR,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2018,9,30
3/31/18,ANTIGUA,BARBUDA-E. CARIBBEAN DOLLAR,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2018,3,31
9/30/19,ANTIGUA,BARBUDA-E. CARIBBEAN DOLLAR,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2019,9,30
3/31/19,ANTIGUA,BARBUDA-E. CARIBBEAN DOLLAR,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2019,3,31
6/30/19,ANTIGUA,BARBUDA-E. CARIBBEAN DOLLAR,ANTIGUA-BARBUDA-E. CARIBBEAN DOLLAR,2.7,2019,6,30
12/31/18,ARGENTINA,PESO,ARGENTINA-PESO,37.642,2019,12,31
6/30/18,ARGENTINA,PESO,ARGENTINA-PESO,27.97,2018,6,30
9/30/18,ARGENTINA,PESO,ARGENTINA-PESO,39.533,2018,9,30
3/31/18,ARGENTINA,PESO,ARGENTINA-PESO,20.11,2018,3,31
9/30/19,ARGENTINA,PESO,ARGENTINA-PESO,57.32,2019,9,30
3/31/19,ARGENTINA,PESO,ARGENTINA-PESO,43.591,2019,3,31
6/30/19,ARGENTINA,PESO,ARGENTINA-PESO,42.69,2019,6,30
12/31/18,ARMENIA,DRAM,ARMENIA-DRAM,485,2019,12,31
6/30/18,ARMENIA,DRAM,ARMENIA-DRAM,485,2018,6,30
9/30/18,ARMENIA,DRAM,ARMENIA-DRAM,480,2018,9,30
3/31/18,ARMENIA,DRAM,ARMENIA-DRAM,480,2018,3,31
9/30/19,ARMENIA,DRAM,ARMENIA-DRAM,475,2019,9,30
3/31/19,ARMENIA,DRAM,ARMENIA-DRAM,485,2019,3,31
6/30/19,ARMENIA,DRAM,ARMENIA-DRAM,480,2019,6,30
12/31/18,AUSTRALIA,DOLLAR,AUSTRALIA-DOLLAR,1.416,2019,12,31
6/30/18,AUSTRALIA,DOLLAR,AUSTRALIA-DOLLAR,1.354,2018,6,30
9/30/18,AUSTRALIA,DOLLAR,AUSTRALIA-DOLLAR,1.386,2018,9,30
3/31/18,AUSTRALIA,DOLLAR,AUSTRALIA-DOLLAR,1.299,2018,3,31
9/30/19,AUSTRALIA,DOLLAR,AUSTRALIA-DOLLAR,1.481,2019,9,30
3/31/19,AUSTRALIA,DOLLAR,AUSTRALIA-DOLLAR,1.409,2019,3,31
6/30/19,AUSTRALIA,DOLLAR,AUSTRALIA-DOLLAR,1.427,2019,6,30
12/31/18,AUSTRIA,EURO,AUSTRIA-EURO,0.872,2019,12,31
6/30/18,AUSTRIA,EURO,AUSTRIA-EURO,0.858,2018,6,30
9/30/18,AUSTRIA,EURO,AUSTRIA-EURO,0.863,2018,9,30
3/31/18,AUSTRIA,EURO,AUSTRIA-EURO,0.811,2018,3,31
9/30/19,AUSTRIA,EURO,AUSTRIA-EURO,0.917,2019,9,30
